feature,importance
V91,0.09687114506959915
V258,0.05487370118498802
V201,0.04082653298974037
V219,0.03870449215173721
V218,0.033015359193086624
V69,0.02050357311964035
V29,0.015469287522137165
V294,0.013591242954134941
V246,0.013253108598291874
DeviceInfo_hi6210sft Build/MRA58K,0.013237907551229
V70,0.01177987176924944
V200,0.010920069180428982
V264,0.010053482837975025
V102,0.00883378554135561
V34,0.008723661303520203
V318,0.007855488918721676
ProductCD_Unique_Merchant_Count,0.007697670720517635
P_emaildomain_embarqmail.com,0.007498821709305048
ProductCD_Std_TransactionAmt,0.00741936219856143
DeviceInfo_MacOS,0.007283369544893503
C3,0.0065549882128834724
DeviceInfo_Trident/7.0,0.006173917558044195
card3_Count_Transaction,0.0055188024416565895
V283,0.005430588498711586
V187,0.005419536493718624
C8,0.005353495478630066
EmailProvider_ymail,0.004918203689157963
ProductCD_Min_TransactionAmt,0.004823530092835426
card6_debit,0.004560725297778845
id_30_Windows 8.1,0.004511968232691288
C14,0.004502994008362293
V244,0.004471073392778635
HasRecipientEmail,0.004372296389192343
card3_Unique_Merchant_Count,0.0038903956301510334
P_emaildomain_ymail.com,0.003765256842598319
OS_Type_Mac,0.003532421076670289
V324,0.0035184246953576803
ProductCD_Mean_TransactionAmt,0.0034608643036335707
Browser_Type_ie,0.0034382170997560024
id_33_2560x1440,0.00343332439661026
id_33_801x480,0.0033807139843702316
P_emaildomain_sbcglobal.net,0.003375927684828639
card6_credit,0.0033253415022045374
DeviceInfo_SM-J320M Build/LMY47V,0.0032951263710856438
P_emaildomain_yahoo.com.mx,0.003275996772572398
ProductCD_Median_TransactionAmt,0.0032436309847980738
V173,0.0032116584479808807
V323,0.003132955403998494
D2,0.0031268952880054712
id_31_chrome 58.0,0.003123148810118437
V317,0.003084131982177496
P_emaildomain_optonline.net,0.002984237391501665
V128,0.002857570769265294
EmailProvider_comcast,0.0028353591915220022
V197,0.002788729267194867
id_31_ie 11.0 for desktop,0.0026311923284083605
P_emaildomain_live.com,0.00259122671559453
V285,0.002557777799665928
R_emaildomain_anonymous.com,0.0025516303721815348
V149,0.0025457197334617376
V161,0.0024583805352449417
V254,0.0024447713512927294
P_emaildomain_att.net,0.0024446784518659115
V286,0.0024400821421295404
V296,0.0023320955224335194
V280,0.002331644995138049
V99,0.00230871862731874
V339,0.0023032904136925936
C1,0.002302849432453513
V189,0.002270185388624668
card3_Median_TransactionAmt,0.002264177892357111
DeviceInfo_Lenovo YT3-850M Build/MMB29M,0.0022516667377203703
P_emaildomain_msn.com,0.002223985968157649
V243,0.002209036611020565
card3_Mean_TransactionAmt,0.0021805409342050552
P_emaildomain_charter.net,0.002156551694497466
ProductCD_H,0.002148482482880354
P_emaildomain_mail.com,0.0021416994277387857
id_17,0.002124878577888012
V2,0.002115323906764388
V206,0.002100037643685937
V49,0.0020583218429237604
V311,0.002057164441794157
R_emaildomain_msn.com,0.002047741087153554
C13,0.002041861182078719
C11,0.0020349090918898582
id_30_Android,0.002008691430091858
card3,0.0019999819342046976
P_emaildomain_comcast.net,0.0019975414033979177
V266,0.0019756141118705273
EmailProvider_charter,0.001972058555111289
V193,0.0019677968230098486
P_emaildomain_aim.com,0.0019635995849967003
V196,0.0019539236091077328
V312,0.0019165462581440806
Browser_Type_safari,0.0019001393811777234
SameEmailDomain,0.0018919764552265406
C4,0.0018910947255790234
D3,0.0018777718069031835
EmailProvider_live,0.0018668635748326778
